postal_code,walk_score,bike_score,transit_score
 M4P 0C5,77,73,82
 M9V 2A8,41,50,74
 M2M 4J4,76,57,99
 M2R 0A4,48,68,66
 M2K 0C1,52,56,69
 M1P 5E4,64,55,91
 M4H 1R1,59,57,67
 M5J 2Y6,86,73,10
 M8Z 2G2,55,64,59
 M4Y 2W4,99,95,94
 M4Y 0B7,98,98,91
 M4Y 0B6,98,98,90
 M3C 0N8,86,70,63
 M5V 1B2,59,98,94
 M2J 2Y4,67,89,74
 M5V 1X2,99,99,10
 M1H 2E7,59,59,71
 M5C 1S3,97,98,10
 M5V 4A1,57,74,94
 M1K 5M6,67,72,64
 M5J 2L4,87,85,10
 M2J 0A9,78,61,80
 M6K 3R8,95,58,10
 M5E 1A1,98,92,10
 M5N 1G3,86,77,84
 M6S 1X5,71,81,78
 M6K 1M8,88,87,81
 M1W 2W6,37,46,64
 M6S 4W7,42,90,62
 M8Z 0B2,46,57,95
 M8V 0E5,68,86,65
 M5A 0S6,87,99,89
 M4E 3P6,71,69,67
 M6R 3C2,80,10,93
 M1W 3J6,53,82,71
 M8W 0A2,60,56,70
 M2N 0C2,69,49,85
 M8V 4E9,40,77,64
 M4Y 1T5,95,75,90
 M8V 0G1,33,78,63
 M9W 3T1,63,56,55
 M6G 3V2,91,85,89
 M5A 0E7,94,99,98
 M1W 2N2,60,55,66
 M1M 2Z9,71,53,69
 M4Y 0E8,98,98,93
 M9M 1S6,42,53,59
 M4S 1X1,83,70,78
 M1N 2Y2,44,71,72
 M1G 3V3,32,21,66
 M4W 3S5,98,90,91
 M5A 0E5,87,99,89
 M8V 2Y4,75,86,65
 M9A 3V6,43,55,53
 M9B 4N6,45,46,73
 M4C 2S9,74,95,68
 M5J 3A3,89,81,10
 M4S 1J5,83,68,65
 M5V 3N1,97,75,10
 M5N 1R2,16,54,64
 M5B 2R3,99,93,99
 M2K 0E4,55,56,69
 M3H 3L1,50,50,69
 M2N 6M7,85,46,88
 M4Y 3C3,98,96,91
 M5A 4M2,91,10,10
 M5V 0G8,67,75,94
 M2N 6X9,96,50,92
 M6B 2T8,54,65,82
 M1E 3C2,15,34,52
 M2M 4K1,74,52,74
 M5V 0H4,99,98,10
 M3J 1S9,46,52,68
 M4X 1L1,91,99,89
 M2R 2V1,55,51,70
 M4Y 1A5,98,92,95
 M1B 5Z3,67,39,68
 M4Y 3B2,99,75,93
 M1B 2Z6,22,48,69
 M1E 4B1,31,44,61
 M6S 3N4,36,54,62
 M8Z 0C6,70,55,57
 M6G 1R7,87,95,87
 M6R 0A5,92,72,96
 M5A 4M2,91,10,90
 M5S 1K4,90,10,10
 M5V 0H1,97,99,10
 M5M 1M5,71,72,79
