price,address,postal_code,bedrooms,bath,property_type
535000,1411 - 101 ERSKINE AVE, M4P 0C5,1 bed,1 bath,condo
599900,102 - 4 LITCHFIELD CRT, M9V 2A8,4 bed,1 + 1 bath,condo
649000,511 - 7 BISHOP AVE, M2M 4J4,2 + 1 bed,2 bath,condo
1198000,34 Coneflower Cres, M2R 0A4,4 bed,4 bath,townhouse
429000,318 - 121 MCMAHON DR, M2K 0C1,0 bed,1 bath,condo
499900,806 - 83 BOROUGH DR, M1P 5E4,2 + 1 bed,2 bath,condo
469000,314 - 1 LEASIDE PARK DR, M4H 1R1,1 bed,1 bath,condo
935000,2401 - 218 QUEENS QUAY W, M5J 2Y6,2 bed,2 bath,condo
2199880,96 YORKVIEW DR, M8Z 2G2,4 + 1 bed,4 bath,house
799000,2112 - 44 SAINT JOSEPH ST, M4Y 2W4,2 bed,2 bath,condo
737500,2601 - 42 CHARLES ST E, M4Y 0B7,1 + 1 bed,1 bath,condo
599000,2104 - 5 SAINT JOSEPH ST, M4Y 0B6,1 + 1 bed,1 bath,condo
998000,323 - 99 THE DONWAY W, M3C 0N8,2 + 1 bed,2 bath,condo
629900,303 - 231 FORT YORK BLVD, M5V 1B2,1 + 1 bed,1 bath,condo
748800,129 Rusty Crest Way, M2J 2Y4,3 + 1 bed,2 bath,condo
850000,1610 - 330 RICHMOND ST W, M5V 1X2,2 bed,2 bath,condo
799900,471 BRIMORTON DR, M1H 2E7,4 bed,2 bath,house
455000,505 - 127 QUEEN ST E, M5C 1S3,1 bed,1 bath,condo
869000,679 - 209 FORT YORK BLVD, M5V 4A1,2 + 1 bed,2 bath,condo
699000,3 Corner Lane, M1K 5M6,3 bed,2 bath,townhouse
1879000,2201 - 65 HARBOUR SQ, M5J 2L4,2 + 1 bed,2 bath,condo
849990,3406 - 70 FOREST MANOR RD, M2J 0A9,2 bed,2 bath,condo
649000,909 - 125 WESTERN BATTERY RD, M6K 3R8,1 + 1 bed,2 bath,condo
749000,608 - 1 SCOTT ST, M5E 1A1,1 + 1 bed,1 bath,condo
1678800,51A Burnaby Blvd, M5N 1G3,3 bed,3 bath,townhouse
1248000,36 LESSARD AVE, M6S 1X5,3 bed,2 bath,house
769900,2 O'HARA PL, M6K 1M8,1 + 2 bed,2 bath,house
990000,31 LONGBOW SQ, M1W 2W6,4 + 2 bed,4 bath,house
899000,9 Southport St, M6S 4W7,3 bed,3 bath,townhouse
1198000,69 Lobo Mews, M8Z 0B2,3 + 1 bed,3 bath,townhouse
499999,407 - 36 PARK LAWN RD, M8V 0E5,1 bed,1 bath,condo
859995,1018 - 20 RICHARDSON ST, M5A 0S6,2 bed,2 bath,house
3895000,8 NEVILLE PARK BLVD, M4E 3P6,4 + 1 bed,4 bath,house
639000,216 - 369 SORAUREN AVE, M6R 3C2,1 bed,1 bath,condo
989000,60 ECCLESFIELD DR, M1W 3J6,3 + 2 bed,4 bath,house
500000,502 - 3865 LAKE SHORE BLVD W, M8W 0A2,1 bed,1 bath,condo
658000,1805 - 100 HARRISON GARDEN BLVD, M2N 0C2,1 + 1 bed,1 bath,condo
689900,1207 - 2121 LAKE SHORE BLVD W, M8V 4E9,2 bed,2 bath,condo
689900,2005 - 110 CHARLES ST E, M4Y 1T5,1 bed,1 bath,condo
528000,2805 - 33 SHORE BREEZE DR, M8V 0G1,1 bed,1 bath,condo
739900,15 BURRARD RD, M9W 3T1,3 bed,2 bath,house
1799000,827 OSSINGTON AVE, M6G 3V2,5 + 1 bed,3 bath,house
988000,#PH121 -460 ADELAIDE ST E, M5A 0E7,2 bed,2 bath,condo
599900,139 - 124 DUSAY PL, M1W 2N2,5 bed,3 bath,townhouse
389900,318 - 180 MARKHAM RD, M1M 2Z9,2 bed,2 bath,condo
799000,2002 - 85 WOOD ST, M4Y 0E8,2 bed,1 bath,condo
699990,33 CORONADO CRT, M9M 1S6,4 bed,2 bath,house
2100000,467 SOUDAN AVE, M4S 1X1,4 bed,4 bath,house
799900,24 CORNELL AVE, M1N 2Y2,2 bed,1 bath,house
1399000,20 STONEMANSE CRT, M1G 3V3,5 bed,4 bath,house
