price,address,postal_code,bedrooms,bath,property_type
489900,9803 ELBOW DR SW,T2V 1M4,4 bed,2 bath,house
239900,106 - 790 KINGSMERE CRES SW,T2V 2G9,2 bed,1 bath,condo
789900,4508 16A ST SW,T2T 4L7,1 bed,1 bath,house
659900,230 20 AVE NW,T2M 1C2,5 bed,3 + 1 bath,house
499900,24 SHAWNEE WAY SW,T2Y 2V4,3 bed,2 bath,house
220000,1107 - 99 COPPERSTONE PK SE,T2Z 5C9,2 bed,2 bath,condo
1388888,902 - 108 2 ST SW,T2P 1P1,N/A bed,N/A bath,condo
307786,29 TEMPLEBY WAY NE,T1Y 5N7,3 bed,1 + 1 bath,house
299900,804 CANFIELD WAY SW,T2W 1K1,3 bed,1 bath,house
789900,975 LAKE ARROW WAY SE,T2J 3C2,5 bed,3 + 1 bath,house
459900,19 DEL MONICA PL NE,T1Y 6R1,5 bed,3 bath,house
265000,608 - 315 3 ST SE,T2G 0S3,1 bed,1 bath,condo
486000,112 CHAPARRAL DR SE,T2X 3J7,4 bed,2 + 1 bath,house
425000,69 ELDORADO CLOSE NE,T1Y 6T2,6 bed,3 + 1 bath,house
1525000,2131 VIMY WAY SW,T2T 6C2,5 bed,3 + 1 bath,house
329900,516 - 3130 66 AVE SW,T3E 5K8,3 bed,2 + 1 bath,townhouse
569900,194 ROYAL BIRCH WAY NW,T3G 5X9,3 bed,2 + 1 bath,house
599800,1333 ABBOTT AVE NE,T2E 8W5,2 bed,2 + 1 bath,house
749900,7713 80 AVE NE,T3J 0N1,6 bed,5 bath,house
584700,7200 ELKTON DR SW,T3H 4Y7,5 bed,3 + 1 bath,house
389888,1328 MEADOWBROOK DR SE,T4A 2A3,5 bed,3 bath,house
580000,71 WALDEN MANOR SE,T2X 0N1,6 bed,3 + 1 bath,house
320000,1502 - 325 3 ST SE,T2G 0T9,1 bed,1 bath,condo
224900,405 - 819 4A ST NE,T2E 3W3,2 bed,1 bath,condo
579900,192 HIDDEN RANCH CRES NW,T3A 5W3,4 bed,1 bath,house
414900,35 EVANSPARK RD NW,T3P 0G7,3 bed,2 + 1 bath,house
174900,313 - 1723 35 ST SE,T2A 1B4,N/A bed,N/A bath,
614800,16 SIDON CRES SW,T3H 2B5,4 bed,3 + 1 bath,house
425900,2603 - 77 SPRUCE PL SW,T3C 3X6,2 bed,2 bath,condo
340000,6932 4 AVE NE,T2A 6M2,5 bed,2 + 1 bath,house
935000,319 TUSCANY ESTATES RISE NW,T3L 0C6,4 bed,3 + 1 bath,house
975000,2202 23 ST SW,T2T 5H5,4 bed,3 + 1 bath,house
512000,324 GLAMORGAN CRES SW,T3E 5B8,5 bed,2 bath,house
380000,156 ABINGDON WAY NE,T2A 6R8,3 bed,2 + 1 bath,house
529900,62 COPPERLEAF CRES SE,T2Z 0B9,4 bed,3 + 1 bath,house
429900,915 1 ST NW,T2M 2R9,2 bed,2 bath,house
