price,address,postal_code,bed,full_bath,half_bath,property_area,property_type
489900,9803 ELBOW DR SW,T2V 1M4,4.0,2.0,,1121.0,house
239900,106 - 790 KINGSMERE CRES SW,T2V 2G9,2.0,1.0,,836.0,condo
789900,4508 16A ST SW,T2T 4L7,1.0,1.0,,969.0,house
595000,1015 19 AVE SE,T2G 1M1,4.0,2.0,,1650.0,house
799900,96 ASPEN STONE RD SW,T3H 5Y7,4.0,3.0,1.0,2805.0,house
449900,12967 COVENTRY HILLS WAY NE,T3K 5R2,3.0,3.0,1.0,1730.0,house
469000,7610 MARTHAS HAVEN PK NE,T3J 3X7,4.0,3.0,1.0,1785.0,house
379900,55 EVERGLEN RISE SW,T2Y 4Z4,3.0,1.0,1.0,1416.0,house
139500,9206 - 315 SOUTHAMPTON DR SW,T2W 2T6,2.0,1.0,,815.0,condo
955000,31 LYNX MEADOWS CRT NW,T3L 2M1,5.0,3.0,1.0,3006.0,house
184900,406 - 314 14 ST NW,T2N 1Z8,1.0,1.0,,572.0,condo
349900,206 LYNNWOOD DR SE,T2C 0S9,4.0,2.0,,1195.0,house
329900,14 GLAMIS Gardens SW,T3E 6S4,2.0,2.0,1.0,1400.0,townhouse
479900,148 - 223 TUSCANY SPRINGS BLVD NW,T3L 2M2,2.0,2.0,,1146.0,condo
389900,41 COPPERPOND AVE SE,T2Z 5B3,3.0,2.0,1.0,1578.0,house
209900,2215 - 115 PRESTWICK VILLAS SE,T2Z 0M9,,,,844.0,condo
419900,146 MARQUIS COMMON SE,T3M 1N7,3.0,2.0,1.0,1681.0,house
649900,2235 DOUGLASBANK CRES SE,T2Z 2J4,4.0,2.0,1.0,2091.0,house
899900,123 AUBURN SOUND MANOR SE,T3M 0R9,5.0,2.0,1.0,3035.0,house
399900,504 - 2422 ERLTON ST SW,T2S 3B6,2.0,2.0,1.0,1675.0,condo
212100,2304 - 76 CORNERSTONE PASS NE,T3N 0Y6,2.0,1.0,,597.0,condo
539900,32 WALDEN BAY SE,T2X 0P5,3.0,2.0,1.0,2080.0,house
458000,268 WALDEN PARADE SE,T2X 2A6,3.0,2.0,1.0,1944.0,house
499900,24 SHAWNEE WAY SW,T2Y 2V4,3.0,2.0,,1796.0,house
230000,307 - 1408 17 ST SE,T2G 5S8,1.0,1.0,,700.0,condo
129900,1108 - 73 ERIN WOODS CRT SE,T2B 3V2,1.0,1.0,,502.0,condo
739900,3208 UPLANDS PL NW,T2N 4H1,5.0,2.0,,1392.0,house
760000,3428 LAKESIDE CRES SW,T3E 6A6,4.0,2.0,1.0,1334.0,house
220000,1107 - 99 COPPERSTONE PK SE,T2Z 5C9,2.0,2.0,,801.0,condo
1388888,902 - 108 2 ST SW,T2P 1P1,,,,1365.0,condo
389900,72 BEDDINGTON RISE NE,T3K 1N2,5.0,2.0,,1048.0,house
599900,631 SIERRA MORENA PL SW,T3H 2W9,3.0,2.0,,1753.0,house
359900,56 HIDDEN WAY NW,T3A 5S8,3.0,2.0,,893.0,house
299900,804 CANFIELD WAY SW,T2W 1K1,3.0,1.0,,894.0,house
