postal_code,walk_score,bike_score,transit_score
T2V 1M4,58,61,55
T2T 4C3,53,81,42
T3K 4J2,19,59,38
T2Y 4Z3,6,30,31
T2K 3C5,61,81,53
T3K 4T6,40,60,39
T1Y 7B3,13,59,40
T2P 1J3,94,94,78
T2C 3Z8,32,70,39
T2E 1C3,82,84,54
T3H 2L4,26,67,35
T3G 5X6,47,65,36
T2V 3K9,36,53,53
T3E 2E3,56,74,48
T2X 0M4,4,50,28
T3G 5E9,15,47,49
T2S 3C7,55,91,59
T3G 4G3,23,65,38
T2Z 2C5,22,65,41
T2A 4E3,50,50,49
T3A 6C3,38,53,35
T3G 5Z6,14,64,31
T3E 4Z5,43,67,47
O0O 0O0,0,4,N/A
T3A 2V9,59,91,44
T3H 1Z3,15,68,38
T3H 4K7,25,72,54
T2C 4H4,41,71,48
T2L 1S3,54,71,58
T3M 2L6,30,73,38
T2M 2M2,54,87,52
T2H 1N9,66,81,59
T3H 0S5,11,71,56
T3M 1X4,8,55,34
T2J 5L7,5,63,26
T2J 7J4,37,78,54
T2E 4W6,58,73,39
T2A 6H4,27,61,44
T2J 6B9,13,54,31
T3J 3L4,37,71,60
T2C 5M7,15,64,39
T2X 3R3,16,46,28
T2Z 0J3,16,60,29
T2R 0W8,94,94,76
T2Z 2T2,18,65,34
T2H 0V8,41,59,53
T3H 4W5,30,70,33
T2J 0T3,63,63,50
T2E 2T8,78,86,53
T3N 0T9,7,41,33
T2C 3V6,41,74,42
T3A 2K6,13,64,46
T3K 4W3,50,75,49
T3E 2J4,60,74,49
T2A 6G8,68,67,58
T2X 1K9,18,62,41
T3N 0A8,14,49,34
T1Y 2Z1,36,75,53
T2J 0B8,44,69,31
T3H 5M2,24,68,46
T2T 0W1,50,85,51
T3N 1S7,0,26,18
T2V 4R4,57,59,34
T3G 6A9,51,71,36
T2T 3B4,31,67,44
T3R 0M7,19,50,37
T3H 1R3,26,69,49
T3K 5V3,25,64,48
T2Y 3L5,22,63,60
T2Y 5A5,14,46,25
T2G 1L7,72,92,76
T2T 4S4,50,78,50
T3P 0L4,0,30,0
T2X 4L2,9,37,25
T3H 5V5,45,67,54
T3H 4N1,16,49,49
T2J 6C8,22,51,32
T2K 5S3,43,66,52
T2V 4G4,17,69,28
T1Y 7L1,36,66,35
T2B 1C3,59,61,54
T2W 4H4,14,39,30
T2Y 4X1,23,65,32
